Accession,Description,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Modifications
P58775,Tropomyosin beta chain OS=Rattus norvegicus OX=10116 GN=Tpm2 PE=1 SV=1,40,14,37,6,1,284,32.8,4.7,105.17,14,
P04692,Tropomyosin alpha-1 chain OS=Rattus norvegicus OX=10116 GN=Tpm1 PE=1 SV=3,33,14,28,6,1,284,32.7,4.74,68.21,14,
P02600,"Myosin light chain 1/3, skeletal muscle isoform OS=Rattus norvegicus OX=10116 GN=Myl1 PE=1 SV=2",48,13,25,10,1,189,20.7,5.03,65.34,13,Oxidation [K101]
P00564,Creatine kinase M-type OS=Rattus norvegicus OX=10116 GN=Ckm PE=1 SV=2,21,7,22,7,1,381,43,7.06,65.81,7,Oxidation [P21]
P05539,Collagen alpha-1(II) chain OS=Rattus norvegicus OX=10116 GN=Col2a1 PE=1 SV=2,22,16,20,14,1,1419,134.5,8.25,46.41,16,Oxidation [P134; P246; P288; P290; P366; P368; P371; P410; P531; P537; P575; P576; P578; P741; P762; P764; P851; P852; P854; P876; P881; P885; P927; P930; K938; P951; P953; P1130; P1133; P1134; K1340]
P04797,Glyceraldehyde-3-phosphate dehydrogenase OS=Rattus norvegicus OX=10116 GN=Gapdh PE=1 SV=3,23,6,17,5,1,333,35.8,8.03,66.28,6,Oxidation [K184]
P11507,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Rattus norvegicus OX=10116 GN=Atp2a2 PE=1 SV=1,8,7,15,7,1,1043,114.7,5.34,55.27,7,
P15999,"ATP synthase subunit alpha, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5f1a PE=1 SV=2",19,8,12,8,1,553,59.7,9.19,30.22,8,Oxidation [P478]
D4ACX8,Protocadherin-16 OS=Rattus norvegicus OX=10116 GN=Dchs1 PE=3 SV=2,6,9,12,9,1,3291,345.8,4.96,21.65,9,Oxidation [P64; P68; P69; P70; P536; P538; K666; P779; P781; P782; P1004; P1021; P2592; P2593; P3134]
P09495,Tropomyosin alpha-4 chain OS=Rattus norvegicus OX=10116 GN=Tpm4 PE=1 SV=3,14,5,11,0,2,248,28.5,4.69,25.91,5,
Q63610,Tropomyosin alpha-3 chain OS=Rattus norvegicus OX=10116 GN=Tpm3 PE=1 SV=2,14,5,11,0,2,248,29,4.78,25.91,5,
Q9JKS6,Protein piccolo OS=Rattus norvegicus OX=10116 GN=Pclo PE=1 SV=1,3,8,11,8,1,5085,552.4,6.54,20.46,8,Oxidation [P212; P682; K688; K699; P1302; P1821; P2160; P2358; P2626; P3673; P3674; P3675]
Q9JJH5,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 OS=Rattus norvegicus OX=10116 GN=Pfkfb2 PE=1 SV=1",5,2,10,2,1,557,64.1,8.48,25.41,2,Oxidation [P164; K175]
A0A0G2JTZ2,Transcription factor SOX-6 OS=Rattus norvegicus OX=10116 GN=Sox6 PE=1 SV=2,10,5,10,5,1,827,91.8,7.78,23.9,5,Oxidation [P265; P381; P386; P391; P392; P400; P459; P465; P467]
Q9JMC1,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A OS=Rattus norvegicus OX=10116 GN=Inpp5j PE=1 SV=1",9,5,9,5,1,1001,107.1,9.51,20.5,5,Oxidation [P106; P177; P267; P268; P276]
Q80WF4,Transmembrane protein 132A OS=Rattus norvegicus OX=10116 GN=Tmem132a PE=1 SV=1,4,2,9,2,1,1021,110.5,5.68,18.29,2,Oxidation [P511; P513; P520; P883; P886]
P63155,Crooked neck-like protein 1 OS=Rattus norvegicus OX=10116 GN=Crnkl1 PE=2 SV=1,2,2,9,2,1,690,83.4,6.93,15.55,2,Oxidation [K127]
Q64119,Myosin light polypeptide 6 OS=Rattus norvegicus OX=10116 GN=Myl6 PE=1 SV=3,11,3,8,1,1,151,17,4.55,25.49,3,Oxidation [K98]
P04466,Myosin regulatory light chain 11 OS=Rattus norvegicus OX=10116 GN=Myl11 PE=1 SV=2,40,7,8,6,1,169,19,4.92,18.76,7,
P18596,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 OS=Rattus norvegicus OX=10116 GN=Atp2a3 PE=1 SV=3,6,4,7,4,1,999,109.3,5.68,23.16,4,
P19633,Calsequestrin-1 OS=Rattus norvegicus OX=10116 GN=Casq1 PE=1 SV=2,15,5,7,5,1,406,46.4,4.12,16.32,5,Oxidation [P239; P243; K245]
Q4G017,Nischarin OS=Rattus norvegicus OX=10116 GN=Nisch PE=2 SV=2,4,4,7,4,1,1502,166.4,5.38,15.5,4,Oxidation [K256; P261; P497; P503; P505; P532; P536]
Q8VHK2,Caskin-1 OS=Rattus norvegicus OX=10116 GN=Caskin1 PE=1 SV=1,7,6,7,6,1,1430,150.3,9.17,15.37,6,Oxidation [K474; P736]
O54874,Serine/threonine-protein kinase MRCK alpha OS=Rattus norvegicus OX=10116 GN=Cdc42bpa PE=1 SV=1,4,4,7,4,1,1732,196.9,6.73,13.92,4,Oxidation [K315; K706; P1661; P1663]
D3ZHV2,Microtubule-actin cross-linking factor 1 OS=Rattus norvegicus OX=10116 GN=Macf1 PE=1 SV=1,1,6,7,6,1,5430,619.2,5.4,13.83,6,
Q9JI03,Collagen alpha-1(V) chain OS=Rattus norvegicus OX=10116 GN=Col5a1 PE=1 SV=1,6,5,7,5,1,1840,183.9,4.97,12.64,5,Oxidation [P421; P429; P434; P1181; P1183; P1186; P1189; P1318; K1328; K1337; P1660]
Q5XIF6,Tubulin alpha-4A chain OS=Rattus norvegicus OX=10116 GN=Tuba4a PE=1 SV=1,14,4,6,4,1,448,49.9,5.06,18.07,4,
P16409,Myosin light chain 3 OS=Rattus norvegicus OX=10116 GN=Myl3 PE=1 SV=2,22,4,6,2,1,200,22.1,5.1,17.01,4,Oxidation [P32; P34]
P05065,Fructose-bisphosphate aldolase A OS=Rattus norvegicus OX=10116 GN=Aldoa PE=1 SV=2,13,5,6,5,1,364,39.3,8.09,15.32,5,
O35787,Kinesin-like protein KIF1C OS=Rattus norvegicus OX=10116 GN=Kif1c PE=1 SV=1,4,2,6,2,1,1097,122.3,7.37,14.43,2,Oxidation [P428; P432; P436]
Q63638,Striated muscle-specific serine/threonine-protein kinase OS=Rattus norvegicus OX=10116 GN=Speg PE=1 SV=2,3,6,6,6,1,3259,353.9,8.28,14.14,6,Oxidation [P669; P723; P727; P2191; P2197; P2199; P2538; P2786; P2791]
Q71LX6,Xin actin-binding repeat-containing protein 2 OS=Rattus norvegicus OX=10116 GN=Xirp2 PE=1 SV=1,3,6,6,6,1,3302,373.8,6.04,13.96,6,Oxidation [P174; K1032; K1080; P2058]
G3V7L1,Utrophin OS=Rattus norvegicus OX=10116 GN=Utrn PE=1 SV=3,1,4,6,4,1,3419,391.1,5.29,12.92,4,Oxidation [P2618; P2622; P2625]
Q00900,Human immunodeficiency virus type I enhancer-binding protein 2 homolog OS=Rattus norvegicus OX=10116 GN=Hivep2 PE=1 SV=2,3,5,6,5,1,2437,267.3,6.95,12.6,5,Oxidation [P72; P534; P1057; P1063]
F1LMY4,Ryanodine receptor 1 OS=Rattus norvegicus OX=10116 GN=Ryr1 PE=1 SV=1,2,6,6,6,1,5035,565.1,5.3,12.14,6,Oxidation [P1056; P1057; P1061; P3018; K4579; P4584; P4756; P4758; P4759]
Q02294,Voltage-dependent N-type calcium channel subunit alpha-1B OS=Rattus norvegicus OX=10116 GN=Cacna1b PE=1 SV=1,4,4,6,4,1,2336,262.1,8.56,11.98,4,Oxidation [P830; K834; K836; P837; K1004; K1013; P1985; P1989]
Q32PX7,Far upstream element-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Fubp1 PE=1 SV=1,10,3,6,3,1,639,67.2,7.61,11.45,3,Oxidation [P493; P496; P497; P595; P599; P600; P633; P634; P636]
P11530,Dystrophin OS=Rattus norvegicus OX=10116 GN=Dmd PE=1 SV=2,2,4,6,3,1,3677,425.6,5.91,11.16,4,Oxidation [P2825; P2831]
Q63170,Dynein axonemal heavy chain 7 OS=Rattus norvegicus OX=10116 GN=Dnah7 PE=2 SV=2,1,5,6,4,1,4057,464.3,6.14,10.82,5,Oxidation [P1030; P4036; P4040]
Q91Z79,Liprin-alpha-3 OS=Rattus norvegicus OX=10116 GN=Ppfia3 PE=1 SV=2,5,4,6,4,1,1192,133.3,5.62,10.46,4,Oxidation [P701; P741; P742]
Q7TPK6,Serine/threonine-protein kinase WNK4 OS=Rattus norvegicus OX=10116 GN=Wnk4 PE=1 SV=3,7,4,6,4,1,1222,132.8,5.63,10.19,4,Oxidation [P337; P342; P532; P536; P843; P846; P1024; P1026; P1043]
D3ZVM4,E3 ubiquitin-protein ligase TRIM71 OS=Rattus norvegicus OX=10116 GN=Trim71 PE=3 SV=1,8,4,6,4,1,855,92.1,7.61,10.1,4,Oxidation [P163; P165; P167; P230; P232; P450; P451]
D4A8G9,Zinc finger FYVE domain-containing protein 26 OS=Rattus norvegicus OX=10116 GN=Zfyve26 PE=1 SV=1,1,3,6,3,1,2542,284,6.21,9.8,3,Oxidation [P147; P298; P300; P593; K605; P607]
P52909,Transcription factor JunD OS=Rattus norvegicus OX=10116 GN=Jund PE=1 SV=1,19,3,6,3,1,341,34.9,7.44,9.23,3,Oxidation [P35; P36; P80; P84; P169; P176; P182]
P09812,"Glycogen phosphorylase, muscle form OS=Rattus norvegicus OX=10116 GN=Pygm PE=1 SV=5",8,5,5,4,1,842,97.2,7.33,14.29,5,Oxidation [P612]
Q9ESV6,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific OS=Rattus norvegicus OX=10116 GN=Gapdhs PE=1 SV=1",20,4,5,3,1,432,46.7,7.93,12.73,4,Oxidation [P59; P60; P90; P91; P304; K315]
Q9QW30,Neurogenic locus notch homolog protein 2 OS=Rattus norvegicus OX=10116 GN=Notch2 PE=1 SV=1,3,5,5,5,1,2471,265.2,5.21,12.6,5,Oxidation [P2173; P2180; P2182; P2188; K2292; P2384; P2386]
O35889,Afadin OS=Rattus norvegicus OX=10116 GN=Afdn PE=1 SV=1,2,3,5,3,1,1829,207.5,6.16,12.35,3,Oxidation [P325; P1358; P1360; P1366]
E9PU17,ATP-binding cassette sub-family A member 17 OS=Rattus norvegicus OX=10116 GN=Abca17 PE=2 SV=1,4,5,5,5,1,1773,199.7,8.54,12.1,5,Oxidation [P1212; K1222]
P37727,Rab proteins geranylgeranyltransferase component A 1 OS=Rattus norvegicus OX=10116 GN=Chm PE=1 SV=1,8,2,5,2,1,650,72.4,4.82,11.45,2,Oxidation [P193; P198; K199; P207; K208; K209]
P60669,Pleckstrin homology domain-containing family A member 4 OS=Rattus norvegicus OX=10116 GN=Plekha4 PE=2 SV=1,7,4,5,4,1,779,85.6,10.2,11.45,4,Oxidation [P343; K421; P509; P512; P539]
P35248,Pulmonary surfactant-associated protein D OS=Rattus norvegicus OX=10116 GN=Sftpd PE=1 SV=1,10,2,5,2,1,374,37.5,7.17,11.33,2,Oxidation [P184; P194; P199; P200]
Q2TL32,E3 ubiquitin-protein ligase UBR4 OS=Rattus norvegicus OX=10116 GN=Ubr4 PE=1 SV=2,1,5,5,5,1,5194,573.4,6.07,11.28,5,Oxidation [P2433; P2436; P2437; P2441; K4329; P4379; P4382]
Q05140,Clathrin coat assembly protein AP180 OS=Rattus norvegicus OX=10116 GN=Snap91 PE=1 SV=1,7,3,5,3,1,915,93.5,4.93,11.18,3,Oxidation [P627; P639; P641; P647; K649]
P58365,Cadherin-23 OS=Rattus norvegicus OX=10116 GN=Cdh23 PE=2 SV=1,3,5,5,5,1,3317,365.2,4.64,11.16,5,Oxidation [P173; P174; K561; P790; P791; P803; P2378]
Q56B11,"Proline-, glutamic acid- and leucine-rich protein 1 OS=Rattus norvegicus OX=10116 GN=Pelp1 PE=1 SV=2",7,4,5,4,1,1130,119.1,4.32,11.13,4,Oxidation [P14; P18; P21; P469; P758; P759]
Q8VIG2,Meiosis regulator and mRNA stability factor 1 OS=Rattus norvegicus OX=10116 GN=Marf1 PE=1 SV=2,2,2,5,2,1,1735,192.5,8.15,11.1,2,Oxidation [P888; P1600]
Q9QXQ7,Protein Wnt-5a OS=Rattus norvegicus OX=10116 GN=Wnt5a PE=2 SV=2,6,2,5,2,1,380,42.3,8.46,11.04,2,Oxidation [P54]
Q5QD51,A-kinase anchor protein 12 OS=Rattus norvegicus OX=10116 GN=Akap12 PE=1 SV=1,3,4,5,4,1,1687,181,4.4,10.95,4,Oxidation [P333; P653; P656; K1635]
P34926,Microtubule-associated protein 1A OS=Rattus norvegicus OX=10116 GN=Map1a PE=1 SV=1,3,5,5,5,1,2774,299.3,4.94,10.91,5,Oxidation [P505; P506; P776; P779; P781; P1396; P1398; P2295; P2297]
Q63618,Espin OS=Rattus norvegicus OX=10116 GN=Espn PE=1 SV=2,6,4,5,4,1,837,90.5,7.15,10.22,4,Oxidation [P591; P597; P651; P653]
D3ZD32,Chromodomain-helicase-DNA-binding protein 5 OS=Rattus norvegicus OX=10116 GN=Chd5 PE=1 SV=1,3,5,5,5,1,1948,222.1,6.1,10.18,5,Oxidation [P489; P493; P500; P505; P1812]
Q923J6,Dynein axonemal heavy chain 12 OS=Rattus norvegicus OX=10116 GN=Dnah12 PE=2 SV=2,2,4,5,3,1,3092,357,6.02,10.1,4,
Q1EHB3,A disintegrin and metalloproteinase with thrombospondin motifs 7 OS=Rattus norvegicus OX=10116 GN=Adamts7 PE=1 SV=1,6,4,5,4,1,1595,175.7,6.1,10.08,4,Oxidation [P162; P165; P170; P1082; P1216; P1219]
P28818,Ras-specific guanine nucleotide-releasing factor 1 OS=Rattus norvegicus OX=10116 GN=Rasgrf1 PE=1 SV=1,4,4,5,4,1,1244,142.6,7.02,9.14,4,Oxidation [P1155; P1156; P1159]
Q80Z36,Zinc fingers and homeoboxes protein 3 OS=Rattus norvegicus OX=10116 GN=Zhx3 PE=1 SV=2,5,3,5,3,1,951,103.7,6.4,8.78,3,Oxidation [P202; P631; P737; P746]
P29995,"Inositol 1,4,5-trisphosphate receptor type 2 OS=Rattus norvegicus OX=10116 GN=Itpr2 PE=1 SV=1",1,2,5,2,1,2701,306.9,6.48,8.68,2,Oxidation [P525; P2128; P2132; K2140]
O35817,A-kinase anchor protein 14 OS=Rattus norvegicus OX=10116 GN=Akap14 PE=2 SV=1,10,4,5,4,1,502,55.7,9.73,8.6,4,Oxidation [P26; P29; P31; K75; P209; P211; P214]
Q8R508,Protocadherin Fat 3 OS=Rattus norvegicus OX=10116 GN=Fat3 PE=1 SV=1,1,4,5,4,1,4555,501.8,4.87,8.43,4,Oxidation [P1150; K2028; P2133; P3423]
Q9ERC5,Otoferlin OS=Rattus norvegicus OX=10116 GN=Otof PE=1 SV=2,3,4,5,4,1,1993,226.2,5.69,8.23,4,Oxidation [K1306; P1308; K1573; P1717; P1722]
P50503,Hsc70-interacting protein OS=Rattus norvegicus OX=10116 GN=St13 PE=1 SV=1,18,3,5,3,1,368,41.3,5.39,8.18,3,Oxidation [P285; P289; P293; P319; P328]
Q01205,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Rattus norvegicus OX=10116 GN=Dlst PE=1 SV=2",11,3,5,3,1,454,48.9,8.69,7.78,3,Oxidation [P176; P177; P180; P182; P186; P187; P191; P194]
Q9ERB4,Versican core protein (Fragment) OS=Rattus norvegicus OX=10116 GN=Vcan PE=2 SV=2,3,3,5,3,1,2738,299.8,4.58,7.63,3,Oxidation [P1727; P2245; P2247; P2337; P2339; P2341]
Q5PQT2,Myotubularin-related protein 3 OS=Rattus norvegicus OX=10116 GN=Mtmr3 PE=1 SV=1,5,3,5,3,1,1194,133.4,6.09,6.91,3,Oxidation [P590; P592; P596; P599; P711; P718; K721]
Q6IN38,Wnt inhibitory factor 1 OS=Rattus norvegicus OX=10116 GN=Wif1 PE=2 SV=1,7,2,5,2,1,379,41.6,8.1,4.3,2,Oxidation [P31; P32; K62; P65]
Q6P9V9,Tubulin alpha-1B chain OS=Rattus norvegicus OX=10116 GN=Tuba1b PE=1 SV=1,11,3,4,3,1,451,50.1,5.06,12.66,3,
Q6AY56,Tubulin alpha-8 chain OS=Rattus norvegicus OX=10116 GN=Tuba8 PE=2 SV=1,11,3,4,3,1,449,50,5.1,12.66,3,
D3ZHA0,Filamin-C OS=Rattus norvegicus OX=10116 GN=Flnc PE=1 SV=1,2,4,4,4,1,2726,290.8,5.9,10.76,4,Oxidation [P459]
Q07008,Neurogenic locus notch homolog protein 1 OS=Rattus norvegicus OX=10116 GN=Notch1 PE=1 SV=3,4,4,4,4,1,2531,270.6,5.06,10.57,4,Oxidation [K136; P1227; P1228]
Q4V7A4,Fibrous sheath CABYR-binding protein OS=Rattus norvegicus OX=10116 GN=Fscb PE=1 SV=2,10,3,4,3,1,812,88,4.13,10.37,3,Oxidation [P463; P464; P480; P643; P650]
Q9ES73,Melanoma-associated antigen D1 OS=Rattus norvegicus OX=10116 GN=Maged1 PE=1 SV=3,9,3,4,3,1,775,85.7,7.55,10.25,3,Oxidation [P350; P354]
Q80ZG5,Pre-mRNA-splicing factor SLU7 OS=Rattus norvegicus OX=10116 GN=Slu7 PE=1 SV=2,7,3,4,3,1,586,68.3,6.86,10.18,3,Oxidation [P49; K57]
P97924,Kalirin OS=Rattus norvegicus OX=10116 GN=Kalrn PE=1 SV=3,2,3,4,3,1,2959,336.4,6.01,10.12,3,Oxidation [P1598; K1616; P2620; P2626; P2629]
P47858,"ATP-dependent 6-phosphofructokinase, muscle type OS=Rattus norvegicus OX=10116 GN=Pfkm PE=1 SV=3",4,3,4,3,1,780,85.5,8,10.1,3,
Q499U8,Transmembrane and coiled-coil domain-containing protein 4 OS=Rattus norvegicus OX=10116 GN=Tmco4 PE=2 SV=1,9,3,4,3,1,631,67.8,5.59,10.04,3,Oxidation [P145]
P20909,Collagen alpha-1(XI) chain OS=Rattus norvegicus OX=10116 GN=Col11a1 PE=1 SV=2,5,4,4,4,1,1804,180.9,5.21,10.01,4,Oxidation [P819; P823; P825; P1050; P1053; P1057]
A0A0G2K2P5,Tight junction protein ZO-1 OS=Rattus norvegicus OX=10116 GN=Tjp1 PE=1 SV=1,4,4,4,4,1,1765,197,6.6,9.71,4,Oxidation [P119; P181; P184; P1502]
O35832,Cyclin-dependent kinase 18 OS=Rattus norvegicus OX=10116 GN=Cdk18 PE=1 SV=1,7,2,4,2,1,451,51.8,8.92,9.66,2,Oxidation [P343]
O70511,Ankyrin-3 OS=Rattus norvegicus OX=10116 GN=Ank3 PE=1 SV=3,3,4,4,4,1,2622,284.3,7.9,9.61,4,Oxidation [K1743; P1759; K1764; P2074; P2079; P2293; K2309]
Q6WRH9,Immunoglobulin superfamily member 10 OS=Rattus norvegicus OX=10116 GN=Igsf10 PE=1 SV=1,3,4,4,4,1,2597,284.6,9.26,9.6,4,Oxidation [P817; P821; P1506; P1508]
Q63505,General transcription factor 3C polypeptide 1 OS=Rattus norvegicus OX=10116 GN=Gtf3c1 PE=1 SV=1,3,4,4,4,1,2148,242.2,7.5,9.59,4,Oxidation [P1060; P1064; P1911; P1919]
A4L9P8,Centrosomal protein of 295 kDa OS=Rattus norvegicus OX=10116 GN=Cep295 PE=2 SV=2,2,4,4,4,1,2395,269.8,5.95,9.58,4,Oxidation [P104; P439; K445]
B4F7F3,Splicing regulator ARVCF OS=Rattus norvegicus OX=10116 GN=Arvcf PE=1 SV=1,5,3,4,3,1,973,105.4,6.57,9.35,3,Oxidation [K17; P75]
Q62839,Golgin subfamily A member 2 OS=Rattus norvegicus OX=10116 GN=Golga2 PE=1 SV=4,5,3,4,3,1,998,112.8,4.93,9.25,3,Oxidation [P7; P8; P973; P979; P982]
Q62925,Mitogen-activated protein kinase kinase kinase 1 OS=Rattus norvegicus OX=10116 GN=Map3k1 PE=1 SV=1,5,3,4,3,1,1493,161.2,7.78,9.22,3,Oxidation [P84; P85; P87; P314; P324; K327; P962; P967]
Q62947,Zinc finger E-box-binding homeobox 1 OS=Rattus norvegicus OX=10116 GN=Zeb1 PE=1 SV=2,3,2,4,2,1,1109,121.6,4.93,9.21,2,Oxidation [P367; P377; K1035]
Q9Z1Z1,Eukaryotic translation initiation factor 2-alpha kinase 3 OS=Rattus norvegicus OX=10116 GN=Eif2ak3 PE=1 SV=1,5,3,4,3,1,1108,124.7,5.47,9.19,3,Oxidation [P51; P58]
P22199,Mineralocorticoid receptor OS=Rattus norvegicus OX=10116 GN=Nr3c2 PE=1 SV=1,8,4,4,4,1,981,106.7,7.55,9.15,4,Oxidation [P326; P337; K368; P423]
O55005,Roundabout homolog 1 OS=Rattus norvegicus OX=10116 GN=Robo1 PE=1 SV=1,4,4,4,4,1,1651,180.6,6.28,9.13,4,Oxidation [K615; P1483; P1484; P1505]
Q66HA1,Mitogen-activated protein kinase kinase kinase 11 OS=Rattus norvegicus OX=10116 GN=Map3k11 PE=1 SV=1,3,2,4,2,1,850,93.1,8.43,9.05,2,Oxidation [P797; P799]
Q64548,Reticulon-1 OS=Rattus norvegicus OX=10116 GN=Rtn1 PE=1 SV=1,7,3,4,3,1,777,83,4.61,9.03,3,Oxidation [P5; P11; P14; P391; P394; P487]
Q9R1N3,Sodium bicarbonate cotransporter 3 OS=Rattus norvegicus OX=10116 GN=Slc4a7 PE=1 SV=1,5,4,4,3,1,1218,135.9,6.48,9.03,4,Oxidation [P557; P562; P908; P913; K948]
A0A0G2K1Q8,Phospholipid-transporting ATPase ABCA3 OS=Rattus norvegicus OX=10116 GN=Abca3 PE=1 SV=1,3,4,4,4,1,1704,191.6,7.11,9.01,4,Oxidation [P510]
Q9EQ60,Voltage-dependent T-type calcium channel subunit alpha-1H OS=Rattus norvegicus OX=10116 GN=Cacna1h PE=2 SV=2,3,4,4,3,1,2359,260.9,7.15,8.92,4,Oxidation [P769; P1193]
Q9JK25,CAP-Gly domain-containing linker protein 1 OS=Rattus norvegicus OX=10116 GN=Clip1 PE=1 SV=2,4,4,4,4,1,1320,148.2,5.31,8.89,4,Oxidation [P84; K205]
P49791,Nuclear pore complex protein Nup153 OS=Rattus norvegicus OX=10116 GN=Nup153 PE=1 SV=1,5,4,4,4,1,1468,152.7,8.9,8.85,4,Oxidation [P390; P530; K533]
M0RD54,Cardiac-enriched FHL2-interacting protein OS=Rattus norvegicus OX=10116 GN=CEFIP PE=3 SV=2,5,4,4,4,1,1422,155.3,6.28,8.82,4,Oxidation [P220; P221; P224; P432; P442; K447; P1088; P1090]
Q8K1P7,Transcription activator BRG1 OS=Rattus norvegicus OX=10116 GN=Smarca4 PE=1 SV=1,3,4,4,4,1,1613,181.3,8,8.81,4,Oxidation [K688; K689; P691]
Q6IFT6,Anoctamin-7 OS=Rattus norvegicus OX=10116 GN=Ano7 PE=2 SV=1,5,3,4,3,1,860,97.1,6.58,8.78,3,Oxidation [P163; P166; P167; P421; P428]
Q4L1J4,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Magi1 PE=1 SV=1",5,3,4,3,1,1255,136.2,5.71,8.77,3,Oxidation [P674; K1106]
O08873,MAP kinase-activating death domain protein OS=Rattus norvegicus OX=10116 GN=Madd PE=1 SV=1,2,3,4,3,1,1602,177.9,6.04,8.77,3,Oxidation [P416; P418]
P29994,"Inositol 1,4,5-trisphosphate receptor type 1 OS=Rattus norvegicus OX=10116 GN=Itpr1 PE=1 SV=2",1,3,4,3,1,2750,313.1,6.04,8.74,3,
